2021-10-04 20:17:25 WARN  Logging:9 - Testing logger.
2021-10-07 14:42:33 WARN  Logging:40 - User has used an incorrect password
2021-10-07 14:46:35 WARN  Logging:40 - User has used an incorrect password
2021-10-07 14:49:18 WARN  Logging:40 - User has used an incorrect password
2021-10-07 14:51:33 INFO  Logging:44 - User was successfully logged in
2021-10-07 14:52:55 WARN  Logging:37 - User has tried logging in with a username that does not exist.
2021-10-07 14:53:55 INFO  Logging:44 - User was successfully logged in
2021-10-07 14:55:43 INFO  Logging:44 - User was successfully logged in
2021-10-07 14:57:04 WARN  Logging:37 - User has tried logging in with a username that does not exist.
2021-10-07 21:43:50 WARN  Logging:37 - User has tried logging in with a username that does not exist.
2021-10-07 21:45:06 WARN  Logging:40 - User has used an incorrect password
2021-10-07 21:46:56 INFO  Logging:44 - User was successfully logged in
2021-10-07 21:47:58 WARN  Logging:40 - User has used an incorrect password
2021-10-08 07:05:55 INFO  Logging:44 - User was successfully logged in
2021-10-08 07:11:20 INFO  Logging:44 - User was successfully logged in
2021-10-08 07:45:49 INFO  Logging:44 - User was successfully logged in
2021-10-08 08:19:11 INFO  Logging:44 - User was successfully logged in
2021-10-08 08:28:23 INFO  Logging:44 - User was successfully logged in
2021-10-08 09:07:37 INFO  Logging:44 - User was successfully logged in
2021-10-08 11:15:10 INFO  Logging:45 - User was successfully logged in
2021-10-08 11:18:02 WARN  Logging:38 - User has tried logging in with a username that does not exist.
2021-10-08 11:20:47 WARN  Logging:68 - User has tried logging in with a username that does not exist.
2021-10-08 11:23:10 WARN  Logging:68 - User has tried logging in with a username that does not exist.
2021-10-08 11:26:16 WARN  Logging:68 - User has tried logging in with a username that does not exist.
2021-10-08 11:29:52 WARN  Logging:38 - User has tried logging in with a username that does not exist.
2021-10-08 11:31:10 WARN  Logging:68 - User has tried logging in with a username that does not exist.
2021-10-08 11:34:37 WARN  Logging:38 - User has tried logging in with a username that does not exist.
2021-10-08 11:37:24 WARN  Logging:38 - User has tried logging in with a username that does not exist.
2021-10-08 11:43:12 INFO  Logging:45 - User was successfully logged in
2021-10-08 11:43:42 WARN  Logging:68 - User has tried logging in with a username that does not exist.
2021-10-08 11:45:16 INFO  Logging:75 - User was successfully logged in
2021-10-08 12:00:18 INFO  Logging:48 - User was successfully logged in
2021-10-08 12:03:58 INFO  Logging:49 - User was successfully logged in
2021-10-08 12:04:38 WARN  Logging:33 - SQL Error detected.
2021-10-08 12:05:48 WARN  Logging:33 - SQL Error detected.
2021-10-08 12:07:52 WARN  Logging:33 - SQL Error detected.
2021-10-08 12:08:28 WARN  Logging:33 - SQL Error detected.
2021-10-08 12:09:50 WARN  Logging:33 - SQL Error detected.
2021-10-08 12:11:09 WARN  Logging:33 - SQL Error detected.
2021-10-08 12:13:37 WARN  Logging:33 - SQL Error detected.
2021-10-08 12:15:46 WARN  Logging:33 - SQL Error detected.
2021-10-08 12:18:32 WARN  Logging:33 - SQL Error detected.
2021-10-08 12:19:25 WARN  Logging:33 - SQL Error detected.
2021-10-08 12:20:43 WARN  Logging:33 - SQL Error detected.
2021-10-08 13:37:28 INFO  Logging:50 - User was successfully logged in
2021-10-08 13:38:07 INFO  Logging:50 - User was successfully logged in
2021-10-08 13:45:57 INFO  Logging:50 - User was successfully logged in
2021-10-08 13:53:57 INFO  Logging:50 - User was successfully logged in
2021-10-08 14:22:56 INFO  Logging:50 - User was successfully logged in
2021-10-08 14:26:48 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-08 14:32:07 INFO  Logging:50 - User was successfully logged in
2021-10-08 14:32:32 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-08 14:33:57 WARN  Logging:76 - User has tried logging in with a username that does not exist.
2021-10-08 14:36:38 INFO  Logging:83 - User was successfully logged in
2021-10-08 15:16:59 INFO  Logging:82 - User was successfully logged in
2021-10-08 15:21:34 INFO  Logging:82 - User was successfully logged in
2021-10-08 15:23:48 INFO  Logging:82 - User was successfully logged in
2021-10-08 15:30:45 INFO  Logging:82 - User was successfully logged in
2021-10-08 15:32:22 INFO  Logging:82 - User was successfully logged in
2021-10-08 15:33:18 INFO  Logging:82 - User was successfully logged in
2021-10-08 15:35:47 INFO  Logging:82 - User was successfully logged in
2021-10-08 15:37:20 INFO  Logging:82 - User was successfully logged in
2021-10-08 15:51:32 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-08 15:52:23 INFO  Logging:50 - User was successfully logged in
2021-10-08 15:59:05 INFO  Logging:82 - User was successfully logged in
2021-10-08 16:02:19 INFO  Logging:50 - User was successfully logged in
2021-10-08 16:03:21 INFO  Logging:82 - User was successfully logged in
2021-10-08 16:35:48 INFO  Logging:82 - User was successfully logged in
2021-10-08 16:39:56 INFO  Logging:82 - User was successfully logged in
2021-10-08 16:41:20 INFO  Logging:82 - User was successfully logged in
2021-10-08 16:46:00 INFO  Logging:82 - User was successfully logged in
2021-10-08 16:49:27 INFO  Logging:82 - User was successfully logged in
2021-10-08 16:50:23 INFO  Logging:50 - User was successfully logged in
2021-10-08 16:52:23 INFO  Logging:50 - User was successfully logged in
2021-10-08 16:53:33 INFO  Logging:50 - User was successfully logged in
2021-10-08 16:55:56 INFO  Logging:50 - User was successfully logged in
2021-10-08 17:01:14 INFO  Logging:50 - User was successfully logged in
2021-10-08 17:02:58 INFO  Logging:50 - User was successfully logged in
2021-10-08 17:04:41 INFO  Logging:82 - User was successfully logged in
2021-10-10 16:46:20 INFO  Logging:82 - User was successfully logged in
2021-10-10 16:47:27 WARN  Logging:43 - User has tried logging in with a username that does not exist.
2021-10-10 16:48:52 INFO  Logging:50 - User was successfully logged in
2021-10-10 16:54:37 INFO  Logging:82 - User was successfully logged in
2021-10-10 16:56:43 INFO  Logging:82 - User was successfully logged in
2021-10-10 16:59:42 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-10 17:08:53 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-10 17:09:32 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-10 17:10:03 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-10 17:12:04 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-10 17:12:13 INFO  Logging:82 - User was successfully logged in
